token_id,network_id,name,symbol,address
166,1,Immutable X,IMX,0xF57e7e7C23978C3cAEC3C3548E3D615c346e79fF
167,1,agEUR,agEUR,0x1a7e4e63778B4f12a199C062f3eFdD288afCBce8
168,1,None,ANGLE,0x31429d1856aD1377A8A0079410B297e1a9e214c2
169,1,Ethereum Name Service,ENS,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72
170,1,Fancy Games,FNC,0x7f280daC515121DcdA3EaC69eB4C13a52392CACE
171,1,PRIMATE,PRIMATE,0x46e98FFE40E408bA6412bEb670507e083C8B95ff
172,1,New Order,NEWO,0x98585dFc8d9e7D48F0b1aE47ce33332CF4237D96
173,1,Manifold Finance,FOLD,0xd084944d3c05CD115C09d072B9F44bA3E0E45921
174,1,SushiBar,xSUSHI,0x8798249c2E607446EfB7Ad49eC89dD1865Ff4272
175,1,Keep3rV1,KP3R,0x1cEB5cB57C4D4E2b2433641b95Dd330A33185A44
176,1,ichifarm,ICHI,0x903bEF1736CDdf2A537176cf3C64579C3867A881
177,1,DappRadar,RADAR,0x44709a920fCcF795fbC57BAA433cc3dd53C44DbE
178,1,GET,GET,0x8a854288a5976036A725879164Ca3e91d30c6A1B
179,1,THORSwap Token,THOR,0xa5f2211B9b8170F694421f2046281775E8468044
180,1,Convex Token,CVX,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B
181,1,Synthetix Network Token,SNX,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F
182,1,FTT,FTX Token,0x50D1c9771902476076eCFc8B2A83Ad6b9355a4c9
183,1,Mask Network,MASK,0x69af81e73A73B40adF4f3d4223Cd9b1ECE623074
184,1,NEAR,NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4
185,1,Doodles,DOODLE,0x2F131C4DAd4Be81683ABb966b4DE05a549144443
186,1,Bounce Token,Auction,0xA9B1Eb5908CfC3cdf91F9B8B3a74108598009096
187,1,Feisty Doge NFT,NFD,0xDFDb7f72c1F195C5951a234e8DB9806EB0635346
188,1,ROOK,ROOK,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
189,1,Everipedia IQ,IQ,0x579CEa1889991f68aCc35Ff5c3dd0621fF29b0C9
190,1,AlphaToken,ALPHA,0xa1faa113cbE53436Df28FF0aEe54275c13B40975
191,1,Guild of Guardians,GOG,0x9AB7bb7FdC60f4357ECFef43986818A2A3569c62
192,1,Magic Internet Money,MIM,0x99D8a9C45b2ecA8864373A26D1459e3Dff1e17F3
193,1,Vite,VITE,0xadd5E881984783dD432F80381Fb52F45B53f3e70
194,1,iExec Network Token,RLC,0x607F4C5BB672230e8672085532f7e901544a7375
195,1,VEGA,VEGA,0xcB84d72e61e383767C4DFEb2d8ff7f4FB89abc6e
196,1,Marlin POND,POND,0x57B946008913B82E4dF85f501cbAeD910e58D26C
197,1,Mycelium,MYC,0x4b13006980aCB09645131b91D259eaA111eaF5Ba
198,1,None,PROS,0x8642A849D0dcb7a15a974794668ADcfbe4794B56
199,1,Ampleforth,AMPL,0xD46bA6D942050d489DBd938a2C909A5d5039A161
200,1,Saddle DAO,SDL,0xf1Dc500FdE233A4055e25e5BbF516372BC4F6871
201,1,Cream,CREAM,0x2ba592F78dB6436527729929AAf6c908497cB200
202,1,TrueUSD,TUSD,0x0000000000085d4780B73119b644AE5ecd22b376
203,1,Injective Token,INJ,0xe28b3B32B6c345A34Ff64674606124Dd5Aceca30
204,1,UniLend Finance Token,UFT,0x0202Be363B8a4820f3F4DE7FaF5224fF05943AB1
205,1,ParaSwap,PSP,0xcAfE001067cDEF266AfB7Eb5A286dCFD277f3dE5
206,1,REVV,REVV,0x557B933a7C2c45672B610F8954A3deB39a51A8Ca
207,1,DFX Token,DFX,0x888888435FDe8e7d4c54cAb67f206e4199454c60
208,1,Gods Unchained,GODS,0xccC8cb5229B0ac8069C51fd58367Fd1e622aFD97
209,1,FinanceVote Token,FVT,0x45080a6531d671DDFf20DB42f93792a489685e32
210,1,Soku,SOKU,0x4C3A8ECeB656Ec63eaE80a4ebD565E4887DB6160
211,1,Convex CRV,cvxCRV,0x62B9c7356A2Dc64a1969e19C23e4f579F9810Aa7
212,1,TOWER,TOWER,0x1C9922314ED1415c95b9FD453c3818fd41867d0B
213,1,None,GMEE,None
214,1,Index,INDEX,0x0954906da0Bf32d5479e25f46056d22f08464cab
215,1,Hop,HOP,0xc5102fE9359FD9a28f877a67E36B0F050d81a3CC
216,1,Wrapped MIR Token,MIR,0x09a3EcAFa817268f77BE1283176B946C4ff2E608
217,1,Binance USD,BUSD,0x4Fabb145d64652a948d72533023f6E7A623C7C53
218,1,Balancer,BAL,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56
219,1,None,BADGER,0xBfa641051Ba0a0Ad1b0AcF549a89536A0D76472E
220,1,Gnosis Token,GNO,0xf4c0dd9b82da36c07605df83c8a416f11724d88b
221,1,Aura,AURA,0xcfca23ca9ca720b6e98e3eb9b6aa0ffc4a5c08b9
222,1,Notional,NOTE,0x5122e01d819e58bb2e22528c0d68d310f0aa6fd7
223,1,None,COW,0xde8c195aa41c11a0c4787372defbbddaa31306d2
224,1,None,DIGG,None
225,1,Nation3,NATION,0x0bf37157d30dfe6f56757dcadff01aed83b08cd6
226,1,None,graviAURA,0x0578292cb20a443ba1cde459c985ce14ca2bdee5
227,1,None,BTRFLY,None
228,1,Tempus,TEMP,0x514f35a92a13bc7093f299af5d8ebb1387e42d6b
229,1,LUSD Stablecoin,LUSD,0xc4451498f950b8b3abd9a815cf221a8e64791388
230,1,None,RPL,0xB766039cc6DB368759C1E56B79AFfE831d0Cc507
